"","ID","human_entrez","name","B_vs_A_p.val","C_vs_A_p.val","B_vs_A_p.adj","C_vs_A_p.adj","B_vs_A_significant","C_vs_A_significant","significant","B_vs_A_ratio","C_vs_A_ratio","A_centered","B_centered","C_centered"
"52","O00410",3843,"IPO5",0.6113769056296,0.225231604904959,1,0.00046,FALSE,FALSE,FALSE,0.115,0.275,-0.13,-0.0148,0.145
"53","O00411",5442,"POLRMT",0.646979030875442,0.00894402655348041,1,8.04e-10,FALSE,TRUE,TRUE,0.104,0.592,-0.232,-0.128,0.36
"54","O00425",10643,"IGF2BP3",0.879611737961312,0.324696477587292,1,0.00171,FALSE,FALSE,FALSE,0.0343,0.223,-0.0858,-0.0515,0.137
"55","O00429",10059,"DNM1L",0.484487997440993,0.12953356561362,1,6.1e-05,FALSE,FALSE,FALSE,0.158,0.343,-0.167,-0.00889,0.176
"56","O00442",8634,"RTCA",0.486067312961993,0.0248690119206312,1,7.51e-08,FALSE,FALSE,FALSE,0.158,0.508,-0.222,-0.0642,0.286
"57","O00458",3475,"IFRD1",0.030036482563936,0.0231134525154121,1,5.46e-08,FALSE,FALSE,FALSE,0.491,0.514,-0.335,0.156,0.179
"58","O00459",5296,"PIK3R2",0.174588839960777,0.121486126762442,1,4.76e-05,FALSE,FALSE,FALSE,0.307,0.351,-0.219,0.0881,0.131
"59","O00461",27333,"GOLIM4",0.284601786262325,0.134557663947954,1,7.04e-05,FALSE,FALSE,FALSE,0.242,0.339,-0.194,0.0486,0.145
"60","O00462",4126,"MANBA",0.212432890203384,0.0863281941571696,1,1.28e-05,FALSE,FALSE,FALSE,0.282,0.388,-0.224,0.0588,0.165
"61","O00468",375790,"AGRN",0.106423116171147,0.00502349790445969,1,5.79e-11,FALSE,TRUE,TRUE,0.366,0.635,-0.334,0.032,0.302
"62","O00469",5352,"PLOD2",0.951392289228716,0.830272862718277,1,0.0385,FALSE,FALSE,FALSE,-0.0138,0.0485,-0.0116,-0.0254,0.037
"63","O00471",10640,"EXOC5",0.474574783167401,0.134493249467649,1,7.02e-05,FALSE,FALSE,FALSE,0.162,0.339,-0.167,-0.00502,0.172
"64","O00483",4697,"NDUFA4",0.421561218007312,0.164418912775813,1,0.000148,FALSE,FALSE,FALSE,0.182,0.315,-0.166,0.0164,0.149
"65","O00487",10213,"PSMD14",0.95725332089868,0.81310326426157,1,0.0364,FALSE,FALSE,FALSE,0.0121,0.0535,-0.0219,-0.00976,0.0317
"66","O00499",274,"BIN1",0.315789537403904,0.226260900924088,1,0.000467,FALSE,FALSE,FALSE,0.227,0.274,-0.167,0.0601,0.107
"67","O00505",3839,"KPNA3",0.420675675283709,0.433012211029876,1,0.00478,FALSE,FALSE,FALSE,0.182,0.178,-0.12,0.0624,0.0576
"68","O00515",3898,"LAD1",0.569313713628112,0.606076530850198,1,0.0149,FALSE,FALSE,FALSE,0.129,0.117,-0.0819,0.047,0.0349
"69","O00541",23481,"PES1",0.664178954627332,0.443299199813431,1,0.00518,FALSE,FALSE,FALSE,0.0983,0.174,-0.0907,0.00768,0.083
"70","O00560",6386,"SDCBP",0.964514756689315,0.00943195473349317,1,1e-09,FALSE,TRUE,TRUE,-0.0101,0.588,-0.193,-0.203,0.395
"71","O00562",9600,"PITPNM1",0.295243247016373,0.169950757849803,1,0.000167,FALSE,FALSE,FALSE,0.237,0.311,-0.183,0.0544,0.128
"72","O00566",10199,"MPHOSPH10",0.492433299581135,0.261901802111945,1,0.000798,FALSE,FALSE,FALSE,0.155,0.254,-0.137,0.0189,0.118
"73","O00567",10528,"NOP56",0.485178892696986,0.322433825068961,1,0.00167,FALSE,FALSE,FALSE,0.158,0.224,-0.127,0.0307,0.0967
"74","O00571",1654,"DDX3X",0.865412448521335,0.279837482012197,1,0.00101,FALSE,FALSE,FALSE,0.0384,0.245,-0.0944,-0.056,0.15
"75","O00584",8635,"RNASET2",0.278061594866743,0.696868179609252,1,0.0232,FALSE,FALSE,FALSE,0.246,0.0882,-0.111,0.134,-0.0231
"76","O00625",8544,"PIR",0.0449670370259563,0.130167476142037,1,6.21e-05,FALSE,FALSE,FALSE,0.454,-0.343,-0.0371,0.417,-0.38
"77","O00629",3840,"KPNA4",0.923275361001419,0.398678484744924,1,0.00357,FALSE,FALSE,FALSE,0.0218,0.191,-0.071,-0.0492,0.12
"78","O00743",5537,"PPP6C",0.464358969319514,0.16195457420728,1,0.00014,FALSE,FALSE,FALSE,0.166,0.317,-0.161,0.00489,0.156
"79","O00754",4125,"MAN2B1",0.171702582365753,0.028997920897848,1,1.46e-07,FALSE,FALSE,FALSE,0.31,0.495,-0.268,0.0415,0.227
"80","O00762",11065,"UBE2C",0.00109300309264131,0.699043560002058,1,0.0234,TRUE,FALSE,TRUE,-0.74,0.0876,0.217,-0.522,0.305
"81","O00764",8566,"PDXK",0.204626206827829,0.00350608273888176,1,1.11e-11,FALSE,TRUE,TRUE,0.287,0.661,-0.316,-0.0289,0.345
"82","O00767",6319,"SCD",0.866915783800997,0.283104968786676,1,0.00105,FALSE,FALSE,FALSE,0.038,0.243,-0.0937,-0.0557,0.149
"83","O14494",8611,"PPAP2A",0.000459595587672472,0.000165364702161735,1,7.56e-16,TRUE,TRUE,TRUE,0.794,0.853,-0.549,0.245,0.304
"84","O14497",8289,"ARID1A",0.474371917101989,0.59563522224673,1,0.0141,FALSE,FALSE,FALSE,0.162,0.12,-0.0941,0.068,0.0261
"85","O14545",10906,"TRAFD1",0.0106643745590817,0.439135974010793,1,0.00502,FALSE,FALSE,FALSE,0.578,0.175,-0.251,0.327,-0.076
"86","O14548",9167,"COX7A2L",0.480973624997402,0.779402896310388,1,0.0323,FALSE,FALSE,FALSE,0.16,0.0634,-0.0743,0.0853,-0.0109
"87","O14558",126393,"HSPB6",0.634633799272049,0.205404989001332,1,0.00033,FALSE,FALSE,FALSE,0.108,0.287,-0.131,-0.0238,0.155
"88","O14561",4706,"NDUFAB1",0.255811338890546,0.0568726779498615,1,2.4e-06,FALSE,FALSE,FALSE,0.257,0.431,-0.23,0.0278,0.202
"89","O14579",11316,"COPE",0.65996105037686,0.122911215850035,1,4.98e-05,FALSE,FALSE,FALSE,0.0996,0.349,-0.15,-0.05,0.2
"90","O14602",9086,"EIF1AY",0.374272033147496,0.801857482911048,1,0.035,FALSE,FALSE,FALSE,-0.201,0.0568,0.0481,-0.153,0.105
"91","O14617",8943,"AP3D1",0.506945208488525,0.214636763300935,1,0.000387,FALSE,FALSE,FALSE,0.15,0.281,-0.144,0.00651,0.137
"92","O14618",9973,"CCS",0.766968864898175,0.453923425482036,1,0.00562,FALSE,FALSE,FALSE,-0.0671,0.17,-0.0342,-0.101,0.135
"93","O14639",3983,"ABLIM1",0.715387275937678,0.058039321695982,1,2.6e-06,FALSE,FALSE,FALSE,0.0826,0.429,-0.171,-0.088,0.259
"94","O14656",1861,"TOR1A",0.528408535377113,0.181705110557234,1,0.000213,FALSE,FALSE,FALSE,0.143,0.302,-0.148,-0.00564,0.154
"95","O14657",27348,"TOR1B",0.0546175098319209,0.00188219232928817,1,5.91e-13,FALSE,TRUE,TRUE,0.435,0.704,-0.38,0.0555,0.324
"96","O14662",8675,"STX16",0.199927920169538,0.0478356741325592,1,1.19e-06,FALSE,FALSE,FALSE,0.29,0.448,-0.246,0.0441,0.202
"97","O14672",102,"ADAM10",0.918147493253617,0.428397571626652,1,0.0046,FALSE,FALSE,FALSE,0.0233,0.179,-0.0675,-0.0443,0.112
"98","O14681",9538,"EI24",0.991578846561822,0.423573685273671,1,0.00442,FALSE,FALSE,FALSE,-0.00239,0.181,-0.0596,-0.062,0.122
"99","O14684",9536,"PTGES",0.62236478595102,0.801605345573452,1,0.035,FALSE,FALSE,FALSE,0.112,0.0569,-0.0562,0.0554,0.000758
"100","O14737",9141,"PDCD5",0.803774563870581,0.467633094083384,1,0.00623,FALSE,FALSE,FALSE,-0.0563,0.165,-0.0361,-0.0923,0.128
