name,ID,B_vs_A_p.val,C_vs_A_p.val,B_vs_A_p.adj,C_vs_A_p.adj,B_vs_A_significant,C_vs_A_significant,significant,B_vs_A_ratio,C_vs_A_ratio,A_centered,B_centered,C_centered
Ak4,Q9WUS0,0.558284543198791,0.0238106612821577,1,1,FALSE,FALSE,FALSE,0.0446,0.205,-0.0831,-0.0385,0.122
Ak6,Q5EB68,0.437642547040557,0.0578018625923999,1,1,FALSE,FALSE,FALSE,0.105,0.285,-0.13,-0.0252,0.155
Akap2,Q5U301,0.538927459330886,0.595222720099955,1,1,FALSE,FALSE,FALSE,0.212,0.183,-0.132,0.0805,0.0512
Akr1a1,P51635,0.0896132736020343,0.0290248426071575,1,1,FALSE,FALSE,FALSE,0.19,0.262,-0.151,0.0394,0.112
Akr1b1,P07943,0.870627959779553,0.374215972980842,1,1,FALSE,FALSE,FALSE,0.0327,0.183,-0.0719,-0.0392,0.111
Akr7a2,Q8CG45,0.0828389130720325,0.0565838165550959,1,1,FALSE,FALSE,FALSE,0.321,0.361,-0.227,0.0937,0.134
Akt1,P47196,0.779928078201294,0.12765081871865,1,1,FALSE,FALSE,FALSE,0.0224,0.132,-0.0515,-0.0291,0.0806
Aldh2,P11884,0.287236790765152,0.321548470869906,1,1,FALSE,FALSE,FALSE,0.136,0.126,-0.0875,0.0488,0.0388
Aldh3a1,P11883,0.259739462838031,0.390942180849077,1,1,FALSE,FALSE,FALSE,0.321,0.24,-0.187,0.134,0.0529
Aldh4a1,P0C2X9,0.182106011778879,0.0719540994723424,1,1,FALSE,FALSE,FALSE,0.25,0.355,-0.201,0.0481,0.153
Aldh6a1,Q02253,0.459165077767166,0.186325072774381,1,1,FALSE,FALSE,FALSE,0.07,0.13,-0.0667,0.00321,0.0635
Aldh9a1,Q9JLJ3,0.289060841638555,0.0714792602826411,1,1,FALSE,FALSE,FALSE,0.152,0.28,-0.144,0.00838,0.136
Aldoa,P05065,0.309215714072863,0.467594547280912,1,1,FALSE,FALSE,FALSE,0.235,0.165,-0.133,0.102,0.0316
Ampd2,Q02356,0.282149997322216,0.0890884306926992,1,1,FALSE,FALSE,FALSE,0.0921,0.155,-0.0824,0.00976,0.0726
Anks6,P0C0T2,0.0805948904726524,0.00461839277258637,1,1,FALSE,FALSE,FALSE,0.229,0.449,-0.226,0.0029,0.223
Anp32a,P49911,0.105403596096417,0.00641137782094055,1,1,FALSE,FALSE,FALSE,0.205,0.414,-0.206,-0.00145,0.208
Anp32b,Q9EST6,0.326870890675607,0.190625795876328,1,1,FALSE,FALSE,FALSE,0.232,0.318,-0.183,0.0486,0.135
Anxa1,P07150,0.125194154469411,0.907267919094209,1,1,FALSE,FALSE,FALSE,0.173,0.0121,-0.0618,0.112,-0.0497
Anxa2,Q07936,0.197078299029627,0.00163022959394939,1,1,FALSE,FALSE,FALSE,0.149,0.501,-0.217,-0.0675,0.284
Anxa3,P14669,0.63595858549438,0.30445413231395,1,1,FALSE,FALSE,FALSE,-0.0472,-0.105,0.0508,0.00366,-0.0545
Anxa4,P55260,0.882035257613212,0.265856695294601,1,1,FALSE,FALSE,FALSE,0.0203,0.159,-0.0596,-0.0393,0.099
Anxa5,P14668,0.105800114259039,0.169931152280602,1,1,FALSE,FALSE,FALSE,0.159,0.132,-0.097,0.0623,0.0347
Anxa6,P48037,0.571350216734608,0.831770259813236,1,1,FALSE,FALSE,FALSE,0.0737,0.0274,-0.0337,0.04,-0.0063
Anxa8,Q4FZU6,0.150525934767144,0.425164955306085,1,1,FALSE,FALSE,FALSE,0.344,0.181,-0.175,0.169,0.00627
Ap1b1,P52303,0.990144872571283,0.397947447693249,1,1,FALSE,FALSE,FALSE,-0.00127,-0.0892,0.0301,0.0289,-0.059
