"","ID_uniprot","GeneID_entrez"
"880","O95319",10659
"2872","O95336",25796
"2782","O95340",9060
"3659","O95347",10592
"606","O95352",10533
"3858","O95359",10579
"4063","O95361",10626
"4380","O95365",51341
"2205","O95372",11313
"1990","O95373",10527
"560","O95376",10425
"2876","O95394",5238
"2339","O95396",27304
"4261","O95399",10911
"3845","O95425",6840
"424","O95433",10598
"2784","O95453",5073
"3137","O95456",8624
"3573","O95470",8879
"935","O95471",1366
"2653","O95478",10412
"1774","O95479",9563
"3524","O95486",10802
"3525","O95487",10427
"3570","O95562",375035
"2345","O95563",25874
"138","O95568",92342
"1441","O95571",23474
"373","O95573",2181
"2964","O95602",25885
"3788","O95630",10617
"1035","O95639",10898
"1535","O95684",11116
"2979","O95707",10775
"1805","O95714",8924
"3211","O95716",9545
"3680","O95721",9342
"2748","O95747",9943
"1642","O95749",9453
"1911","O95757",22824
"3144","O95758",9991
"2194","O95777",51691
"510","O95782",160
"4341","O95785",58525
"1176","O95786",23586
"3795","O95793",6780
"4109","O95801",7268
"3514","O95810",8436
"662","O95816",9532
"663","O95817",9531
"2329","O95822",23417
"426","O95831",9131
"938","O95833",9022
"4098","O95857",27075
"705","O95861",10380
"1473","O95864",9415
"4137","O95881",51060
"1297","O95905",11319
"2255","O95983",53615
"2681","O95989",11165
"415","O95994",10551
"682","O95999",8915
"2545","O96000",4716
"948","O96005",1209
"2338","O96007",4338
"4020","O96008",10452
"2851","O96011",8799
"2775","O96013",10298
"50","O96017",11200
"379","O96019",86
"1104","P00167",1528
"2125","P00338",3939
"1662","P00367",2746
"1193","P00374",1719
"1107","P00387",1727
"1738","P00390",2936
"2422","P00403",4513
"3713","P00441",6647
"2949","P00491",4860
"1889","P00492",3251
"1706","P00505",2806
"1320","P00533",1956
"2871","P00558",5230
"432","P00568",203
"2921","P00749",5328
"389","P00813",100
"595","P00966",445
"1064","P01034",1471
"2649","P01111",4893
"2127","P01130",3949
"1846","P01889",3106
"129","P02144",4151
"2156","P02545",4000
"1562","P02751",2335
"3923","P02786",7037
"1576","P02794",2495
"2424","P02795",4502
"153","P03891",4536
"2423","P03915",4540
"785","P04040",847
"3238","P04049",5894
"1618","P04062",2629
"463","P04075",226
"1065","P04080",1476
"495","P04083",301
"2648","P04150",2908
"243","P04179",6648
"2714","P04181",4942
"3953","P04183",7083
"842","P04233",972
"120","P04259",3854
"1610","P04406",2597
"590","P04424",435
"1845","P04439",3105
"1414","P04626",2064
"773","P04632",826
"4030","P04637",7157
"1916","P04792",3315
"3393","P04843",6184
"3394","P04844",6185
"1673","P04899",2771
"618","P05023",476
"25","P05026",481
"529","P05067",351
"456","P05091",217
"3617","P05141",292
"2005","P05161",9636
"2801","P05166",5096
"1338","P05198",1965
"1935","P05362",3383
"216","P05386",6176
"3392","P05387",6181
"3391","P05388",6175
"3772","P05455",6741
"2018","P05556",3688
"2093","P05783",3875
"2466","P05976",4632
"4233","P06132",7389
"1651","P06280",2717
"813","P06307",885
"1736","P06396",2934
"3157","P06454",5757
"863","P06493",983
"625","P06576",506
"3468","P06703",6277
"1358","P06730",1977
"1387","P06733",2023
"3183","P06737",5836
"1713","P06744",2821
"2642","P06748",4869
"4040","P06753",7170
"2017","P06756",3685
"1807","P06865",3073
"1399","P07099",2052
"1123","P07108",1622
"2126","P07195",3945
"1721","P07203",2876
"2756","P07237",5034
"1770","P07305",3005
"64","P07339",1509
"497","P07355",302
"770","P07384",823
"4117","P07437",203068
"2028","P07476",3713
"3093","P07602",5660
"1808","P07686",3074
"65","P07711",1514
"179","P07737",5216
"531","P07741",353
"1405","P07814",2058
"1083","P07858",1508
"1902","P07900",3320
"1867","P07910",3183
"4227","P07919",7388
"2203","P07948",4067
"1536","P07954",2271
"3719","P08047",6667
"501","P08133",309
"3315","P08134",389
"840","P08174",1604
"3631","P08195",6520
"1768","P08236",2990
"2865","P08237",5213
"1903","P08238",3326
"3757","P08240",6734
"592","P08243",440
